Review,Sentiment,Sentiment Score,Main Issue,Issue Score
The product works fine. I ordered the more exprensive one after I read reviews from others on Amazon. My husband likes t,Positive,0.907,Delivery Problem,0.38
This book is so useless that I feel compelled to write a review to warn others to stay away from this book. A good tutor,Negative,0.986,Delivery Problem,0.218
The authors attempt an ambitious goal of covering many SOA topics - but their resulting text come across as scattered - ,Negative,0.974,Customer Service Issue,0.277
I ordered this product and did recieve then a couple months later it broke. Now Ive done everything I was told to do by ,Negative,0.978,Delivery Problem,0.393
I hated this movie. It was so silly. The girl made the cult look more stupid than they already were. Come on? She was fr,Negative,0.984,Product Quality Issue,0.225
Product was easy to use to assemble.Product supported my weight (180 lb) and was easy to take down. I usually do not hav,Positive,0.99,Performance Issue,0.296
"1.Music-I don't like it,but too overplayed for this CD-2/5 stars2.Most Girls-I listen a lot when gets boring-4/5 stars3.",Positive,0.975,Pricing Issue,0.201
"The other plastic garages and service stations that we have purchased in the past were made so poorly, but this one has ",Positive,0.926,Product Quality Issue,0.529
"Nirvana only got popular after cobain killed himself? Obviously you're an idiot. Nirvana got mega-popular after ""Smells ",Positive,0.984,Product Quality Issue,0.247
"Tracy knows how to get you on your feet and dancing! This is an amazing effort from Tracy Young, a must have for everyon",Positive,0.991,Performance Issue,0.377
"What matters is using the cable with the highest capability your gear will support (HDMI, DVI, component), and using a d",Positive,0.843,Performance Issue,0.464
"I've used this camera for 6 years. Last year I started getting intermittant ""Remove the Cassette"" messages. I wish I had",Negative,0.828,Customer Service Issue,0.385
"We make so many awesome things with this dehydrator, including beef jerky, dried bananas, strawberries, apples and we al",Positive,0.99,Performance Issue,0.367
I was on a plane trying to read this and instead picked up the airline magazine. I typically enjoy books about Irish fam,Negative,0.983,Delivery Problem,0.247
i bought FDM-07157 under the cabinet LCD TV in 2006 (DEC). from CIRCUIT CITY who did nothing when the screen went black ,Negative,0.988,Customer Service Issue,0.707
"Let Me Call You Sweetheart, by Mary Higgins Clark, read by Bess Armstrong. A convoluted and seemingly implausible tale. ",Negative,0.975,Product Quality Issue,0.288
I've been using this product for 3 months. It seems to be pretty accurate with my cycle. I gave it 4 stars because they ,Positive,0.934,Pricing Issue,0.684
"I liked the book because it is from a true story and the story is fantastic. However, I disliked the book because it has",Negative,0.832,Performance Issue,0.228
I luv Johanna Lindsey books but this was not good at all.I don't think she was awake when she wrote this. I'm just sad b,Negative,0.985,Battery Issue,0.2
"This second CD of his really helped him boost his career and helped to uplift the spirit of the 1990s. Songs like ""All t",Positive,0.99,Performance Issue,0.222
Ignore Kavity Killer's one-star review; I don't know what his/her problem is with good ol' Lyle. If you have the slighte,Positive,0.988,Pricing Issue,0.219
"I bought this dvd for my wife because she wanted a short, effective workout. Right at the bat, Jillian set the bar high ",Positive,0.988,Product Quality Issue,0.222
It was a nice series. I have read Snelling before and enjoyed her books. Her family connection in the series worked well,Positive,0.99,Product Quality Issue,0.254
"Just a heads up. Two of the songs on 1000 Fires are Babble tunes. If you are a Babble fan, then you probably want to che",Negative,0.931,Performance Issue,0.258
My five year old loves his voice changer. In fact everyone in the house plays with it. I like how you can use multiple s,Positive,0.981,Product Quality Issue,0.34
"I was overall disappointed with this product, did not see the results and I used it as the label stated. Ended up having",Negative,0.988,Product Quality Issue,0.518
"Very outstanding book, helped a ton of things that are just ""assumed"" elsewhere(datasheets, app notes and the like). Whi",Positive,0.99,Performance Issue,0.203
Although it rarely advances too deeply into the lives of the two-hundred individuals featured and I did find a typo or t,Positive,0.99,Performance Issue,0.194
I originally had my Xbox 360 hooked up through component but my HDTV only has space for one component connection and I n,Positive,0.984,Product Quality Issue,0.209
"I have been using a terrible hole puncher at school for the past ten years. (hole guide shifting after every punch, a de",Positive,0.854,Product Quality Issue,0.262
I was looking to order this product but after reading the reviews there was a change of mind. A 6 pack would have been O,Negative,0.977,Pricing Issue,0.578
The book is beautifully illustrated with full color photos that are exceptional in quality. I think it would have been h,Positive,0.988,Performance Issue,0.284
Save your money. It is awful and boring and a shame developers even wasted their time on it.,Negative,0.987,Product Quality Issue,0.181
"This book was disappointing, it only give a sample of Bible prophecy. Plus most of these studies of the are messianic. A",Negative,0.986,Delivery Problem,0.334
"I really enjoyed this story as I have others of Ingrid's. The story and the characters remain the meat of the book, inst",Positive,0.982,Product Quality Issue,0.262
"This looks like a fun game with a really reasonable price. Problem is, on my iMac running 10.6.8, the game does not star",Negative,0.984,Customer Service Issue,0.435
"This set is a box of useless trash. Amazon, you shouldn't allow this sub-quality crap on your site. It is bad for busine",Negative,0.987,Product Quality Issue,0.541
I am new to networking and wanted to learn more about security and hacking. I have been especially interested in explori,Positive,0.981,Performance Issue,0.193
"I will not go into any details in this first review, but one very important oversight by the editors was the overlooking",Negative,0.854,Delivery Problem,0.256
